ano,sigla_uf,id_municipio,populacao
2021,SP,3500105,35153
2021,SP,3500204,3545
2021,SP,3500303,36981
2021,SP,3500402,8262
2021,SP,3500501,18908
2021,SP,3500550,6142
2021,SP,3500600,3588
2021,SP,3500709,37582
2021,SP,3500758,6231
2021,SP,3500808,4201
2021,SP,3500907,4211
2021,SP,3501004,16221
2021,SP,3501103,4078
2021,SP,3501152,18903
2021,SP,3501202,3616
2021,SP,3501301,25078
2021,SP,3501400,5320
2021,SP,3501509,3251
2021,SP,3501608,244370
2021,SP,3501707,41545
2021,SP,3501806,5993
2021,SP,3501905,73145
2021,SP,3502002,5115
2021,SP,3502101,57245
2021,SP,3502200,25724
2021,SP,3502309,6911
2021,SP,3502408,4172
2021,SP,3502507,36211
2021,SP,3502606,4122
2021,SP,3502705,24081
2021,SP,3502754,23343
2021,SP,3502804,199210
2021,SP,3502903,35389
2021,SP,3503000,5689
2021,SP,3503109,6373
2021,SP,3503158,2452
2021,SP,3503208,240542
2021,SP,3503307,136739
2021,SP,3503356,1755
2021,SP,3503406,8665
2021,SP,3503505,3906
2021,SP,3503604,11186
2021,SP,3503703,9851
2021,SP,3503802,56247
2021,SP,3503901,92453
2021,SP,3503950,1815
2021,SP,3504008,105768
2021,SP,3504107,145378
2021,SP,3504206,15316
2021,SP,3504305,5467
2021,SP,3504404,14063
2021,SP,3504503,91792
2021,SP,3504602,18013
2021,SP,3504701,6127
2021,SP,3504800,9209
2021,SP,3504909,11039
2021,SP,3505005,3525
2021,SP,3505104,7532
2021,SP,3505203,35844
2021,SP,3505302,36125
2021,SP,3505351,5794
2021,SP,3505401,7606
2021,SP,3505500,123546
2021,SP,3505609,33537
2021,SP,3505708,279704
2021,SP,3505807,20952
2021,SP,3505906,63438
2021,SP,3506003,381706
2021,SP,3506102,77612
2021,SP,3506201,3028
2021,SP,3506300,11168
2021,SP,3506359,66154
2021,SP,3506409,8197
2021,SP,3506508,126094
2021,SP,3506607,33265
2021,SP,3506706,15111
2021,SP,3506805,12571
2021,SP,3506904,12107
2021,SP,3507001,63310
2021,SP,3507100,26506
2021,SP,3507159,4013
