 Produção Ambulatorial do SUS - São Paulo - por local de atendimento
Qtd.aprovada por Município
Período:Jan/2022-Jan/2025
"Município";"Qtd.aprovada"
"350010 ADAMANTINA";2674237
"350020 ADOLFO";442088
"350030 AGUAI";2363632
"350040 AGUAS DA PRATA";329005
"350050 AGUAS DE LINDOIA";216104
"350055 AGUAS DE SANTA BARBARA";286870
"350060 AGUAS DE SAO PEDRO";463257
"350070 AGUDOS";2679868
"350075 ALAMBARI";583837
"350080 ALFREDO MARCONDES";230455
"350090 ALTAIR";248594
"350100 ALTINOPOLIS";1695399
"350110 ALTO ALEGRE";187773
"350115 ALUMINIO";541540
"350120 ALVARES FLORENCE";93123
"350130 ALVARES MACHADO";1295299
"350140 ALVARO DE CARVALHO";186008
"350150 ALVINLANDIA";125852
"350160 AMERICANA";8670623
"350170 AMERICO BRASILIENSE";2183042
"350180 AMERICO DE CAMPOS";79999
"350190 AMPARO";3301763
"350200 ANALANDIA";350593
"350210 ANDRADINA";2955901
"350220 ANGATUBA";1253437
"350230 ANHEMBI";521711
"350240 ANHUMAS";175326
"350250 APARECIDA";2334493
"350260 APARECIDA D'OESTE";684417
"350270 APIAI";656133
"350275 ARACARIGUAMA";2764964
"350280 ARACATUBA";48359627
"350290 ARACOIABA DA SERRA";1729428
"350300 ARAMINA";149855
"350310 ARANDU";192296
"350315 ARAPEI";242683
"350320 ARARAQUARA";47012177
"350330 ARARAS";5163794
"350335 ARCO-IRIS";58465
"350340 AREALVA";563830
"350350 AREIAS";166803
"350360 AREIOPOLIS";450414
"350370 ARIRANHA";521401
"350380 ARTUR NOGUEIRA";1377869
"350390 ARUJA";3844915
"350395 ASPASIA";299878
"350400 ASSIS";26931133
"350410 ATIBAIA";6888171
"350420 AURIFLAMA";1237701
"350430 AVAI";114422
"350440 AVANHANDAVA";306769
"350450 AVARE";4191617
"350460 BADY BASSITT";1898162
"350470 BALBINOS";32735
"350480 BALSAMO";76052
"350490 BANANAL";461941
"350500 BARAO DE ANTONINA";22586
"350510 BARBOSA";500417
"350520 BARIRI";1842206
"350530 BARRA BONITA";1573431
"350535 BARRA DO CHAPEU";34324
"350540 BARRA DO TURVO";302062
"350550 BARRETOS";45034177
"350560 BARRINHA";672303
"350570 BARUERI";41361086
"350580 BASTOS";972944
"350590 BATATAIS";4146881
"350600 BAURU";74419615
"350610 BEBEDOURO";4186863
"350620 BENTO DE ABREU";64797
"350630 BERNARDINO DE CAMPOS";269267
"350635 BERTIOGA";7170161
"350640 BILAC";611004
"350650 BIRIGUI";6982916
"350660 BIRITIBA MIRIM";1198235
