id_municipio,populacao,qtd_estabelecimentos,total_leitos_clinicos,total_leitos_cirurgicos,qtd_profissionais,carga_horaria_ambulatorial_total,nome_municipio,qtd_aprovada_total,atend_per_1000_hab,hab_por_profissional,hab_por_estabelecimento,score_carencia
3544103,45317,21,0,0,319,7774,RIO GRANDE DA SERRA,990696.0,21861.46479246199,142.05956112852664,2157.9523809523807,1.9866310160427807
3556503,119576,59,26,0,771,14655,VARZEA PAULISTA,2382783.0,19926.933498360875,155.09208819714655,2026.7118644067796,1.9866310160427807
3523107,382521,113,97,71,3325,58585,ITAQUAQUECETUBA,15513689.0,40556.43742435056,115.04390977443609,3385.141592920354,1.9839572192513368
3525003,121988,70,2,8,949,21284,JANDIRA,5314015.0,43561.78476571466,128.54373024236037,1742.6857142857143,1.9518716577540105
3510609,398462,138,67,78,4124,50665,CARAPICUIBA,11348932.0,28481.842685124302,96.62027158098932,2887.4057971014495,1.9358288770053476
3531100,64519,44,12,6,584,11691,MONGAGUA,3729006.0,57797.02103256405,110.4777397260274,1466.340909090909,1.9251336898395723
3556354,10805,6,0,0,107,2410,VARGEM,532654.0,49296.99213327164,100.98130841121495,1800.8333333333333,1.9171122994652405
3515103,68805,47,10,1,649,16881,EMBU-GUACU,2387169.0,34694.70241988228,106.01694915254237,1463.936170212766,1.914438502673797
3532405,18620,10,11,0,198,3343,NAZARE PAULISTA,687692.0,36932.975295381315,94.04040404040404,1862.0,1.9090909090909092
3539806,106431,83,6,0,815,16844,POA,4138841.0,38887.551559226165,130.59018404907977,1282.301204819277,1.906417112299465
