id_municipio,populacao,qtd_estabelecimentos,total_leitos_clinicos,total_leitos_cirurgicos,qtd_profissionais,carga_horaria_ambulatorial_total,nome_municipio,qtd_aprovada_total,atend_per_1000_hab,hab_por_profissional,hab_por_estabelecimento
3523305,15762,12,0,0,236,5973,ITARIRI,22217.0,1409.5292475574165,66.78813559322033,1313.5
3536000,10729,11,25,0,122,3200,PARAPUA,26160.0,2438.2514679839687,87.94262295081967,975.3636363636364
3550001,10497,9,16,0,136,3658,SAO LUIS DO PARAITINGA,107819.0,10271.410879298846,77.18382352941177,1166.3333333333333
3500501,18245,49,22,4,283,5058,AGUAS DE LINDOIA,216104.0,11844.560153466704,64.46996466431095,372.3469387755102
3540507,10773,16,0,0,184,4203,PORANGABA,158557.0,14717.99870045484,58.54891304347826,673.3125
3552106,41405,87,32,15,503,10737,SOCORRO,626795.0,15138.147566718995,82.31610337972167,475.91954022988506
3548906,265294,1025,162,139,5875,122934,SAO CARLOS,4112759.0,15502.64612090737,45.15642553191489,258.82341463414633
3538501,12570,15,0,0,182,3745,PIQUETE,202761.0,16130.54892601432,69.06593406593407,838.0
3548609,11948,16,18,7,183,3353,SAO BENTO DO SAPUCAI,216770.0,18142.785403414797,65.2896174863388,746.75
3517604,17256,20,0,0,226,6946,GUAPIARA,315611.0,18289.928140936485,76.35398230088495,862.8
