id_municipio,nome_municipio,qtd_atendimentos_periodo,populacao,APC
3500105,ADAMANTINA,2674237.0,35642,75.03049772740026
3500204,ADOLFO,442088.0,4478,98.72443054935239
3500303,AGUAI,2363632.0,32888,71.8691315981513
3500402,AGUAS DA PRATA,329005.0,7470,44.043507362784474
3500501,AGUAS DE LINDOIA,216104.0,18245,11.844560153466704
3500550,AGUAS DE SANTA BARBARA,286870.0,7407,38.72958012690698
3500600,AGUAS DE SAO PEDRO,463257.0,2829,163.7529162248144
3500709,AGUDOS,2679868.0,38879,68.92841894081639
3500758,ALAMBARI,583837.0,6330,92.23333333333333
3500808,ALFREDO MARCONDES,230455.0,4556,50.58274802458297
3500907,ALTAIR,248594.0,3479,71.45559068697902
3501004,ALTINOPOLIS,1695399.0,17156,98.82251107484262
3501103,ALTO ALEGRE,187773.0,3883,48.35771310842132
3501152,ALUMINIO,541540.0,17591,30.78506054232278
3501202,ALVARES FLORENCE,93123.0,3978,23.40950226244344
3501301,ALVARES MACHADO,1295299.0,28250,45.85129203539823
3501400,ALVARO DE CARVALHO,186008.0,4896,37.99183006535948
3501509,ALVINLANDIA,125852.0,2923,43.05576462538488
3501608,AMERICANA,8670623.0,246655,35.15283695850479
3501707,AMERICO BRASILIENSE,2183042.0,33757,64.66931303137127
3501806,AMERICO DE CAMPOS,79999.0,5975,13.388953974895397
3501905,AMPARO,3301763.0,69717,47.35951059282528
3502002,ANALANDIA,350593.0,4684,74.84906063193851
3502101,ANDRADINA,2955901.0,61473,48.08454118068095
3502200,ANGATUBA,1253437.0,24512,51.135647845953
3502309,ANHEMBI,521711.0,5766,90.48057578910857
3502408,ANHUMAS,175326.0,4108,42.67916260954236
3502507,APARECIDA,2334493.0,33223,70.26737501128736
3502606,APARECIDA D'OESTE,684417.0,4124,165.95950533462658
3502705,APIAI,656133.0,24886,26.36554689383589
3502754,ARACARIGUAMA,2764964.0,22168,124.72771562612775
3502804,ARACATUBA,48359627.0,207775,232.74997954518108
3502903,ARACOIABA DA SERRA,1729428.0,33656,51.385429046826715
3503000,ARAMINA,149855.0,5526,27.118168657256604
3503109,ARANDU,192296.0,7050,27.276028368794325
3503158,ARAPEI,242683.0,2355,103.05010615711252
3503208,ARARAQUARA,47012177.0,252318,186.32113840471152
3503307,ARARAS,5163794.0,135331,38.15677117585771
3503356,ARCO-IRIS,58465.0,2085,28.040767386091126
3503406,AREALVA,563830.0,8280,68.09541062801932
3503505,AREIAS,166803.0,3625,46.014620689655175
3503604,AREIOPOLIS,450414.0,10257,43.91284001169933
3503703,ARIRANHA,521401.0,7653,68.13027570887233
3503802,ARTUR NOGUEIRA,1377869.0,53157,25.92074421054612
3503901,ARUJA,3844915.0,89943,42.7483517338759
3503950,ASPASIA,299878.0,1873,160.10571276027764
3504008,ASSIS,26931133.0,104642,257.36447124481566
3504107,ATIBAIA,6888171.0,166043,41.484260101299064
3504206,AURIFLAMA,1237701.0,13873,89.2165357168601
3504305,AVAI,114422.0,4519,25.320203584863908
3504404,AVANHANDAVA,306769.0,11438,26.82016086728449
3504503,AVARE,4191617.0,96098,43.61815022164873
3504602,BADY BASSITT,1898162.0,28909,65.65989830156698
3504701,BALBINOS,32735.0,3963,8.260156447136008
3504800,BALSAMO,76052.0,9854,7.717881063527502
3504909,BANANAL,461941.0,10109,45.6960134533584
3505005,BARAO DE ANTONINA,22586.0,3618,6.242675511332227
3505104,BARBOSA,500417.0,5659,88.42852094009542
3505203,BARIRI,1842206.0,32405,56.84943681530628
3505302,BARRA BONITA,1573431.0,35159,44.75187007594073
3505351,BARRA DO CHAPEU,34324.0,5256,6.530441400304414
3505401,BARRA DO TURVO,302062.0,6922,43.63796590580757
3505500,BARRETOS,45034177.0,126600,355.72019747235385
3505609,BARRINHA,672303.0,33181,20.26168590458395
3505708,BARUERI,41361086.0,330339,125.20800147727032
3505807,BASTOS,972944.0,21900,44.42666666666667
3505906,BATATAIS,4146881.0,59873,69.2612863895245
3506003,BAURU,74419615.0,391740,189.97195844182366
3506102,BEBEDOURO,4186863.0,78210,53.53360184119678
3506201,BENTO DE ABREU,64797.0,2642,24.525738077214232
3506300,BERNARDINO DE CAMPOS,269267.0,11852,22.7191191360108
3506359,BERTIOGA,7170161.0,66873,107.2205673440701
3506409,BILAC,611004.0,7455,81.958953722334
3506508,BIRIGUI,6982916.0,122988,56.77721403714183
3506607,BIRITIBA MIRIM,1198235.0,30526,39.252931926882
3506706,BOA ESPERANCA DO SUL,338757.0,13135,25.790407308717167
3506805,BOCAINA,666852.0,11467,58.15400715095491
3506904,BOFETE,411417.0,10688,38.49335703592814
3507001,BOITUVA,3427780.0,63415,54.053142001103836
3507100,BOM JESUS DOS PERDOES,789141.0,22501,35.071374605573084
3507159,BOM SUCESSO DE ITARARE,115646.0,3610,32.03490304709141
3507209,BORA,16107.0,928,17.356681034482758
3507308,BORACEIA,268846.0,4823,55.74248393116318
3507407,BORBOREMA,1106482.0,14415,76.75907041276449
3507456,BOREBI,146503.0,2787,52.56655902404019
3507506,BOTUCATU,57642953.0,150442,383.15731644088754
3507605,BRAGANCA PAULISTA,10083250.0,184634,54.61209744684078
3507704,BRAUNA,392216.0,5466,71.75557994877424
3507753,BREJO ALEGRE,152459.0,2605,58.52552783109405
3507803,BRODOWSKI,1772944.0,26167,67.75495853556005
3507902,BROTAS,900163.0,24423,36.857183802153706
3508009,BURI,836797.0,20674,40.475815033375255
3508108,BURITAMA,1861411.0,17597,105.78001932147525
3508207,BURITIZAL,250380.0,4447,56.30312570272093
3508306,CABRALIA PAULISTA,523417.0,4362,119.99472718936268
3508405,CABREUVA,4321925.0,48473,89.16149196459885
3508504,CACAPAVA,5273404.0,99678,52.90439214269949
3508603,CACHOEIRA PAULISTA,936536.0,32482,28.832461055353733
3508702,CACONDE,747891.0,17266,43.31582300474922
3508801,CAFELANDIA,1133415.0,16905,67.04614019520852
3508900,CAIABU,14588.0,3745,3.8953271028037384
3509007,CAIEIRAS,6042621.0,98257,61.49812227118679
3509106,CAIUA,232791.0,5585,41.681468218442255
3509205,CAJAMAR,6062353.0,97363,62.26547045592268
3509254,CAJATI,1325374.0,29257,45.30109033735516
3509304,CAJOBI,283042.0,9232,30.658795493934143
3509403,CAJURU,2043185.0,24217,84.36986414502209
3509452,CAMPINA DO MONTE ALEGRE,110272.0,6077,18.145795622840218
3509502,CAMPINAS,180357048.0,1185977,152.07465912070808
3509601,CAMPO LIMPO PAULISTA,8631425.0,79663,108.34923364673688
3509700,CAMPOS DO JORDAO,2459100.0,47983,51.249400829460434
3509809,CAMPOS NOVOS PAULISTA,660753.0,4991,132.38890002003606
3509908,CANANEIA,971021.0,12489,77.7501000880775
3509957,CANAS,74287.0,5049,14.713210536739949
3510005,CANDIDO MOTA,2063300.0,30172,68.38459498873128
3510104,CANDIDO RODRIGUES,1890.0,2951,0.6404608607251779
3510153,CANITAR,150182.0,6524,23.019926425505826
3510203,CAPAO BONITO,1869382.0,47403,39.43594287281395
3510302,CAPELA DO ALTO,1126344.0,23597,47.732508369708015
3510401,CAPIVARI,2492709.0,51318,48.573775283526246
3510500,CARAGUATATUBA,11253547.0,141084,79.76487057355901
3510609,CARAPICUIBA,11348932.0,398462,28.481842685124303
3510708,CARDOSO,420252.0,11491,36.57227395352885
3510807,CASA BRANCA,1804492.0,28786,62.68644479955534
3510906,CASSIA DOS COQUEIROS,20840.0,2855,7.299474605954466
3511003,CASTILHO,1481112.0,20418,72.53952394945637
3511102,CATANDUVA,9869228.0,119172,82.81499009834525
3511201,CATIGUA,19956.0,7105,2.8087262491203377
3511300,CEDRAL,508321.0,13160,38.626215805471126
3511409,CERQUEIRA CESAR,560903.0,22076,25.407818445370538
3511508,CERQUILHO,2303889.0,46217,49.849384425644246
3511607,CESARIO LANGE,630592.0,19588,32.19277108433735
3511706,CHARQUEADA,1058197.0,15798,66.98297252816812
3511904,CLEMENTINA,190469.0,7087,26.87582898264428
3512001,COLINA,1483953.0,18842,78.75772211017939
3512100,COLOMBIA,283846.0,6781,41.85901784397581
3512209,CONCHAL,1613527.0,29034,55.57370668870979
3512308,CONCHAS,1315968.0,15381,85.55802613614199
3512407,CORDEIROPOLIS,1451091.0,25130,57.7433744528452
3512506,COROADOS,435205.0,5498,79.15696616951618
3512605,CORONEL MACEDO,38275.0,4295,8.91152502910361
3512704,CORUMBATAI,310845.0,4285,72.54259043173862
3512803,COSMOPOLIS,2107541.0,61204,34.434693810862036
3512902,COSMORAMA,103698.0,8968,11.563113291703836
3513009,COTIA,11845807.0,287004,41.274013602597876
3513108,CRAVINHOS,2043306.0,34252,59.65508583440383
3513207,CRISTAIS PAULISTA,116597.0,9543,12.218065597820392
3513306,CRUZALIA,87045.0,2129,40.885392202912165
3513405,CRUZEIRO,3655430.0,76513,47.775280017774755
3513504,CUBATAO,7042776.0,115082,61.197893675813766
3513603,CUNHA,658162.0,22456,29.3089597434984
3513702,DESCALVADO,1873868.0,32622,57.44184905891729
3513801,DIADEMA,15843558.0,404118,39.205276676614254
3513850,DIRCE REIS,212.0,1641,0.1291895185862279
3513900,DIVINOLANDIA,1640191.0,11314,144.97003712214956
3514007,DOBRADA,42330.0,8958,4.725385130609511
3514106,DOIS CORREGOS,1846821.0,24855,74.30380205190103
3514205,DOLCINOPOLIS,15581.0,2250,6.924888888888889
3514304,DOURADO,438724.0,8186,53.59442951380406
3514403,DRACENA,3728648.0,46664,79.90416595234014
3514502,DUARTINA,1677446.0,12529,133.88506664538272
3514601,DUMONT,88564.0,9719,9.112460129642967
3514700,ECHAPORA,53070.0,6295,8.430500397140587
3514809,ELDORADO,408009.0,13162,30.999012308159855
3514908,ELIAS FAUSTO,866852.0,18103,47.8844390432525
3514924,ELISIARIO,38850.0,3189,12.182502351834431
3514957,EMBAUBA,201859.0,2353,85.78793030174246
3515004,EMBU DAS ARTES,9015474.0,259323,34.76542381508775
3515103,EMBU-GUACU,2387169.0,68805,34.694702419882276
3515129,EMILIANOPOLIS,7850.0,3062,2.5636838667537556
3515152,ENGENHEIRO COELHO,618942.0,20139,30.73350215998808
3515186,ESPIRITO SANTO DO PINHAL,2476516.0,40681,60.876477962685286
3515194,ESPIRITO SANTO DO TURVO,212485.0,4217,50.38771638605644
3515202,ESTRELA D'OESTE,396912.0,9655,41.10947695494563
3515301,ESTRELA DO NORTE,30331.0,2749,11.033466715169153
3515350,EUCLIDES DA CUNHA PAULISTA,651244.0,7928,82.14480322906155
3515400,FARTURA,557186.0,16984,32.80652378709374
3515509,FERNANDOPOLIS,4639681.0,73286,63.309240509783585
3515608,FERNANDO PRESTES,130966.0,6066,21.590174744477416
3515657,FERNAO,4452.0,1689,2.635879218472469
3515707,FERRAZ DE VASCONCELOS,6394270.0,185622,34.44780252340779
3515806,FLORA RICA,112707.0,1492,75.54088471849866
