id_municipio,ano,qtd_estabelecimentos,total_leitos,qtd_profissionais,populacao,EPC,PPC
3500105,2021,145,75,911,35153,4.124825761670412,25.915284612977555
3500105,2022,150,80,969,34687,4.324386657825698,27.93553780955401
3500105,2023,154,90,972,34687,4.439703635367717,28.022025542710526
3500105,2024,175,91,1011,35642,4.909937713933,28.365411593064362
3500204,2021,6,0,141,3545,1.692524682651622,39.77433004231312
3500204,2022,6,0,140,4351,1.378993334865548,32.176511146862794
3500204,2023,6,0,140,4351,1.378993334865548,32.176511146862794
3500204,2024,5,0,97,4478,1.1165698972755693,21.661456007146047
3500303,2021,66,0,396,36981,1.78470025148049,10.70820150888294
3500303,2022,68,0,408,32072,2.120229483661761,12.721376901970565
3500303,2023,69,24,432,32072,2.1514093290097285,13.469693190321776
3500303,2024,72,24,488,32888,2.1892483580637316,14.838238871320847
3500402,2021,5,0,80,8262,0.6051803437424352,9.682885499878964
3500402,2022,6,0,87,7369,0.8142217397204505,11.806215225946532
3500402,2023,6,0,108,7369,0.8142217397204505,14.655991314968109
3500402,2024,6,0,99,7470,0.8032128514056225,13.25301204819277
3500501,2021,42,19,216,18908,2.221281997038291,11.423735984768353
3500501,2022,48,19,227,17930,2.6770775237032907,12.660345789180145
3500501,2023,47,26,268,17930,2.6213050752928053,14.94701617401004
3500501,2024,49,26,283,18245,2.685667306111263,15.51109893121403
3500550,2021,11,0,102,6142,1.7909475740801042,16.60696841419733
3500550,2022,11,0,102,7177,1.5326738191444893,14.212066322976174
3500550,2023,10,0,107,7177,1.3933398355858995,14.908736240769123
3500550,2024,10,0,115,7407,1.3500742540839747,15.525853921965707
3500600,2021,6,0,85,3588,1.6722408026755853,23.690078037904126
3500600,2022,6,0,108,2780,2.158273381294964,38.84892086330935
3500600,2023,6,0,112,2780,2.158273381294964,40.28776978417266
3500600,2024,5,0,108,2829,1.7674089784376106,38.17603393425239
3500709,2021,47,41,597,37582,1.250598690862647,15.885264222234047
3500709,2022,37,41,613,37680,0.9819532908704883,16.268577494692146
3500709,2023,35,40,569,37680,0.9288747346072187,15.100849256900213
3500709,2024,38,40,582,38879,0.9773913938115693,14.969520821008771
3500758,2021,8,0,80,6231,1.2839030653185683,12.839030653185684
3500758,2022,8,0,86,6141,1.3027194268034523,14.004233838137111
3500758,2023,10,0,93,6141,1.6283992835043153,15.14411333659013
3500758,2024,10,0,95,6330,1.5797788309636651,15.007898894154819
3500808,2021,2,0,51,4201,0.47607712449416806,12.139966674601284
3500808,2022,2,0,53,4445,0.4499437570303712,11.923509561304837
3500808,2023,2,0,55,4445,0.4499437570303712,12.373453318335208
3500808,2024,8,0,68,4556,1.7559262510974538,14.925373134328359
3500907,2021,9,0,77,4211,2.1372595582996916,18.28544288767514
3500907,2022,8,0,75,3451,2.3181686467690525,21.732831063459866
3500907,2023,8,0,84,3451,2.3181686467690525,24.34077079107505
3500907,2024,8,0,84,3479,2.2995113538373095,24.14486921529175
3501004,2021,44,12,276,16221,2.712533136058196,17.014980580728686
3501004,2022,47,25,274,16818,2.7946248067546677,16.292068022356997
3501004,2023,45,25,283,16818,2.675704602211916,16.82720894279938
3501004,2024,49,19,293,17156,2.8561436232221964,17.078573093961296
3501103,2021,8,17,87,4078,1.96174595389897,21.3339872486513
3501103,2022,8,17,84,3841,2.0827909398594118,21.869304868523823
3501103,2023,8,17,82,3841,2.0827909398594118,21.348607133558968
3501103,2024,8,17,95,3883,2.0602626834921454,24.465619366469223
3501152,2021,12,0,172,18903,0.6348198698619266,9.099084801354282
3501152,2022,14,20,201,17301,0.8092017802439165,11.61782555921623
3501152,2023,16,20,172,17301,0.9248020345644761,9.941621871568117
3501152,2024,16,20,188,17591,0.9095560229662897,10.687283269853902
