ano,sigla_uf,id_municipio,familia_ocupacional_cbo,quantidade_profissionais,soma_carga_horaria_ambulatorial
2021,SP,3550308,3221,54,535
2021,SP,3509205,1114,1,0
2021,SP,3550308,2030,220,345
2021,SP,3505708,2523,3,0
2022,SP,3505609,7832,1,0
2022,SP,3549904,3252,5,44
2022,SP,3515509,3911,3,0
2022,SP,3513801,3011,2,0
2021,SP,3506003,3121,13,0
2021,SP,3509502,5201,2,0
2021,SP,3509502,5133,52,0
2021,SP,3548500,4223,50,0
2022,SP,3522406,7630,3,0
2022,SP,3550308,2263,24,513
2022,SP,3550308,2523,134,0
2022,SP,3525904,7156,8,0
2022,SP,3550308,3311,91,0
2022,SP,3526902,3341,19,0
2022,SP,3522505,1422,1,0
2021,SP,3514809,3514,1,0
2021,SP,3530508,3515,8,0
2021,SP,3525300,5191,6,0
2021,SP,3518800,5121,69,0
2022,SP,3550605,5153,6,0
2022,SP,3527108,2410,1,0
2022,SP,3548500,5135,52,0
2022,SP,3520004,7824,2,0
2022,SP,3509502,7842,12,0
2021,SP,3525904,7156,9,0
2021,SP,3549904,2124,40,0
2021,SP,3503208,2711,4,0
2021,SP,3526902,3252,6,16
2021,SP,3526704,1427,1,0
2021,SP,3550308,2543,626,0
2024,SP,3546801,1238,1,0
2024,SP,3505500,2124,14,0
2024,SP,3550308,3252,225,613
2024,SP,3554102,4122,59,0
2024,SP,3505500,4223,13,0
2024,SP,3549904,4223,25,0
2021,SP,3522604,5135,42,0
2021,SP,3510609,4102,7,0
2021,SP,3512803,3225,2,40
2021,SP,3549904,5131,165,0
2023,SP,3503208,2544,41,0
2023,SP,3525508,2123,4,0
2023,SP,3550308,2543,719,0
2023,SP,3554102,4122,65,0
2023,SP,3550308,7257,32,0
2021,SP,3530706,2344,1,15
2021,SP,3552205,2524,16,0
2022,SP,3502507,1114,2,0
2021,SP,3526902,7244,1,0
2021,SP,3507506,3172,10,0
2021,SP,3509502,5173,105,0
2024,SP,3507506,3515,19,0
2024,SP,3516200,4102,3,0
2024,SP,3550308,5133,36,0
2024,SP,3550308,9511,105,0
2022,SP,3523602,5135,3,0
2022,SP,3505500,2311,14,0
2022,SP,3534401,3225,9,36
2021,SP,3548708,5141,10,0
2021,SP,3513009,9511,10,0
2021,SP,3503208,7630,4,0
2022,SP,3554102,5153,13,436
2021,SP,3550308,2525,154,0
2023,SP,3534401,4201,30,0
2023,SP,3542602,3172,4,0
2023,SP,3538709,5133,6,0
2023,SP,3550308,5135,414,0
2021,SP,3549904,7170,3,0
2021,SP,3550308,3186,5,0
2022,SP,3548708,2263,7,81
2022,SP,3552809,9153,2,0
2023,SP,3548906,5121,14,0
2023,SP,3518008,2523,2,0
2023,SP,3550308,1425,51,0
2023,SP,3548500,5131,21,0
2021,SP,3550308,4223,458,0
2021,SP,3550308,7156,84,0
2021,SP,3548500,8483,5,0
2021,SP,3541604,5173,7,0
2022,SP,3505708,2544,8,0
2022,SP,3548906,2392,42,0
2022,SP,3548708,2543,81,0
2022,SP,3509502,8625,2,0
2022,SP,3550308,1424,24,0
2022,SP,3554102,3911,8,0
2022,SP,3550308,3911,252,0
2021,SP,3543907,2711,1,0
2021,SP,3518800,2131,3,24
2021,SP,3556701,4201,1,0
2021,SP,3553302,5153,2,80
2021,SP,3550308,2344,355,150
2022,SP,3528502,2149,1,30
2022,SP,3534906,3133,2,0
2022,SP,3549904,2522,13,0
2022,SP,3519808,5161,1,0
2022,SP,3549706,5141,17,0
2022,SP,3526902,2321,5,99
2022,SP,3550308,4201,104,0
2022,SP,3509502,3144,6,0
2021,SP,3542206,2522,1,0
2021,SP,3550308,5201,5,0
2022,SP,3519600,1427,2,0
2021,SP,3505500,1423,10,0
2021,SP,3550308,5141,141,0
2021,SP,3519600,1425,1,0
2021,SP,3513009,2392,17,0
2023,SP,3509502,2124,79,0
2023,SP,3549805,2611,1,0
2023,SP,3550308,3911,250,0
2023,SP,3501608,4211,6,0
2023,SP,3511102,5103,2,0
2023,SP,3549904,5171,4,0
2023,SP,3513801,2142,4,0
2023,SP,3535507,5135,6,0
2023,SP,3534401,3911,84,0
2023,SP,3524709,9922,54,0
2021,SP,3546801,1114,2,0
2021,SP,3550308,3311,100,0
2023,SP,3504602,2030,1,30
2023,SP,3518800,2142,8,0
2023,SP,3535002,1226,1,0
2023,SP,3527306,3911,51,0
2023,SP,3550308,2344,314,210
2023,SP,3554102,3911,46,0
2023,SP,3550308,2030,182,1235
2023,SP,3538006,3331,2,0
2023,SP,3529708,6220,1,0
2023,SP,3534401,2149,8,30
2023,SP,3549904,5141,22,0
2023,SP,3522604,7222,2,0
2023,SP,3548500,8621,10,0
2023,SP,3550308,2131,105,1249
2022,SP,3504206,3172,1,0
2022,SP,3515186,5153,15,0
2022,SP,3549904,5173,54,0
2024,SP,3505708,2544,8,0
2024,SP,3550308,3225,92,1036
2024,SP,3550308,7156,89,0
2024,SP,3549904,7241,5,0
2024,SP,3522208,7166,3,0
2022,SP,3509502,4102,10,0
2022,SP,3524402,5135,17,0
2022,SP,3550308,2614,1,0
2022,SP,3542206,2321,1,0
2022,SP,3543402,2524,5,0
2022,SP,3548500,5133,93,0
2022,SP,3548708,2524,6,0
2022,SP,3550308,9511,105,0
2022,SP,3513801,5141,6,0
2021,SP,3548708,2543,87,0
2021,SP,3550308,1236,4,0
2021,SP,3518404,1423,2,0
2022,SP,3511409,2142,1,0
2022,SP,3500105,1413,1,0
2024,SP,3549102,2522,2,0
2024,SP,3534401,4223,29,0
2024,SP,3509502,7661,6,0
2024,SP,3555109,5141,12,0
2024,SP,3552809,5131,119,0
2021,SP,3549102,3911,35,0
2021,SP,3522604,6220,9,0
2024,SP,3550308,3542,175,0
2024,SP,3503208,3771,3,0
2024,SP,3530607,3911,60,0
2024,SP,3549904,5102,4,0
2024,SP,3516408,3911,12,0
2021,SP,3550308,2523,133,0
2021,SP,3547809,2392,24,0
2021,SP,3540705,5153,1,0
2021,SP,3506003,5161,1,0
2021,SP,3509502,2345,21,0
2022,SP,3509502,2345,22,0
2022,SP,3536307,5153,3,60
2023,SP,3521309,2123,1,0
2023,SP,3552205,7152,8,0
2023,SP,3554102,1416,1,0
2023,SP,3510609,7156,9,0
2022,SP,3539301,2543,1,0
2022,SP,3510609,4102,7,0
2023,SP,3548500,3542,21,0
2023,SP,3534401,8181,2,0
2023,SP,3509502,1114,47,0
2024,SP,3509502,2312,2,0
2024,SP,3522505,3541,2,0
2024,SP,3550308,4223,638,0
2021,SP,3541604,5135,19,0
2021,SP,3503901,3911,20,0
2023,SP,3530805,5172,22,0
2023,SP,3550308,2512,71,0
2023,SP,3550308,5133,34,0
2023,SP,3522604,5133,25,0
2023,SP,3526902,2392,10,0
2023,SP,3509007,3225,1,0
2023,SP,3543402,7630,4,0
2023,SP,3525904,2344,4,4
2021,SP,3538709,2263,1,2
2023,SP,3512209,9922,8,0
2023,SP,3533403,2392,10,188
2021,SP,3525300,7651,2,0
2023,SP,3549706,7152,5,0
2023,SP,3552809,7156,8,0
2023,SP,3529005,5135,3,0
2021,SP,3550308,3133,14,0
2022,SP,3550308,1112,11,0
2021,SP,3530607,1427,4,0
2022,SP,3505500,1423,5,0
2022,SP,3550308,4241,207,0
2022,SP,3527306,5135,8,0
2022,SP,3505500,2543,14,0
2021,SP,3550407,5135,12,0
2021,SP,3543402,2344,3,10
2022,SP,3538709,7166,5,0
2022,SP,3512209,9922,8,0
2024,SP,3552205,5135,45,0
2024,SP,3538709,3172,1,0
2024,SP,3527108,1114,2,0
2024,SP,3501608,5135,7,0
2021,SP,3548500,2524,15,0
2021,SP,3518701,1114,1,0
2021,SP,3507605,3225,4,18
2024,SP,3551702,4201,3,0
2024,SP,3552205,7257,9,0
2024,SP,3550308,2033,197,152
2024,SP,3550308,2344,312,229
2021,SP,3506508,1413,2,0
2021,SP,3549805,4211,2,0
2022,SP,3538709,2611,3,0
2022,SP,3550308,2512,66,0
2022,SP,3541406,2124,18,0
2022,SP,3534401,2124,11,0
2021,SP,3506359,3912,1,0
2021,SP,3529401,1144,1,0
2022,SP,3550308,2122,6,0
2024,SP,3536703,2524,1,0
2023,SP,3550308,4223,595,0
2021,SP,3554102,5153,13,512
2021,SP,3527207,9151,1,0
2021,SP,3550308,9153,121,0
2021,SP,3550308,3111,19,0
2021,SP,3530607,2392,46,0
2021,SP,3526209,2221,1,0
2021,SP,3523206,5135,8,0
2021,SP,3549904,5171,5,0
2021,SP,3548500,2344,35,20
2022,SP,3509502,2124,90,0
2023,SP,3550308,3012,21,0
2024,SP,3550308,3186,5,0
2024,SP,3504008,5131,3,0
2023,SP,3506003,5199,4,0
2023,SP,3550308,7164,8,0
2023,SP,3557006,5135,2,0
2021,SP,3515004,5153,11,380
2021,SP,3510500,2410,1,0
2022,SP,3521309,2410,1,0
2022,SP,3550308,1425,53,0
2021,SP,3550308,3281,10,0
2021,SP,3516200,4122,9,0
2021,SP,3552809,4122,2,0
2021,SP,3550308,2011,16,240
2021,SP,3525300,2140,1,0
2024,SP,3552809,4122,1,0
2024,SP,3522505,4223,7,0
2021,SP,3522208,2523,1,0
2022,SP,3550308,1416,2,0
2022,SP,3518800,5121,77,0
2021,SP,3547809,6230,4,0
2023,SP,3524006,1425,1,0
2023,SP,3509205,5131,5,0
2022,SP,3527207,3250,21,0
2022,SP,3507001,4151,1,0
2022,SP,3548807,2525,1,0
2024,SP,3550308,1423,265,0
2024,SP,3534401,2124,7,0
2024,SP,3552403,2392,20,0
2024,SP,3538709,2123,1,0
2024,SP,3550308,5131,158,0
2022,SP,3555406,2522,2,0
2022,SP,3516200,3172,7,0
2021,SP,3555406,1114,1,0
2021,SP,3550308,2321,26,30
2021,SP,3518701,1427,1,0
2023,SP,3526704,2410,1,0
2022,SP,3505500,2033,52,0
2022,SP,3512209,2313,2,0
2024,SP,3550308,4201,250,0
2024,SP,3550308,5135,416,0
2023,SP,3550308,3513,155,0
2021,SP,3520509,3171,1,0
2021,SP,3540606,2522,1,0
2024,SP,3530805,3134,1,0
2021,SP,3505500,2624,5,0
2021,SP,3505708,1422,4,0
2024,SP,3535200,2123,2,0
2024,SP,3543402,3714,5,0
2022,SP,3503208,3252,4,0
2022,SP,3534401,5173,49,0
2021,SP,3550308,2141,33,0
2021,SP,3557006,4201,1,0
2022,SP,3538709,1114,5,0
2022,SP,3514106,4201,1,0
2022,SP,3526902,7511,1,0
2022,SP,3516309,3172,1,0
2022,SP,3550308,5171,78,0
2023,SP,3524402,5135,21,0
2023,SP,3550308,5171,78,0
2023,SP,3548708,4102,10,0
2023,SP,3510609,7164,1,0
2023,SP,3550308,3714,45,0
2023,SP,3548708,3517,2,0
2022,SP,3513504,2344,1,20
2022,SP,3550308,5133,37,0
2021,SP,3550308,2142,59,0
2023,SP,3523909,2344,11,0
2023,SP,3541406,9922,3,0
2023,SP,3550605,3341,2,0
2023,SP,3550308,1424,27,0
2023,SP,3538709,7152,5,0
2024,SP,3525904,2626,1,0
2024,SP,3549706,7170,6,0
2024,SP,3506003,2142,6,0
2024,SP,3550308,3911,264,0
2023,SP,3549003,7824,7,0
2023,SP,3522505,5135,33,0
2023,SP,3531605,7832,1,0
2023,SP,3520103,2410,1,0
2023,SP,3547809,2522,12,0
2021,SP,3506102,3252,1,0
2021,SP,3520400,5121,2,0
2021,SP,3513504,3252,2,80
2021,SP,3503307,9153,3,0
2021,SP,3551702,8414,1,0
2022,SP,3509502,3252,26,55
2022,SP,3506003,2613,2,0
2022,SP,3548708,4102,28,0
2022,SP,3552403,2149,1,0
2022,SP,3509502,2141,8,0
2022,SP,3526902,9922,7,0
2022,SP,3543402,3542,3,0
2024,SP,3550605,5191,1,0
2024,SP,3550308,5141,145,0
2024,SP,3548708,2543,137,0
2024,SP,3518701,3341,1,0
2024,SP,3548500,8181,6,0
2024,SP,3548500,9513,12,0
2021,SP,3527306,2141,1,0
2021,SP,3518404,3911,10,0
2021,SP,3509205,3221,1,0
2023,SP,3550308,3542,146,0
2022,SP,3522604,5135,46,0
2022,SP,3523206,5135,7,0
2022,SP,3501608,3111,10,0
2022,SP,3518800,5153,19,500
2022,SP,3555406,8601,1,0
2022,SP,3527207,1414,9,0
2022,SP,3548500,2124,21,0
2024,SP,3508603,2123,1,0
2024,SP,3539301,2523,2,0
2024,SP,3503307,1311,1,0
2024,SP,3509502,3221,9,57
2024,SP,3538709,1423,7,0
2024,SP,3550308,3951,118,0
2022,SP,3550308,3517,8,0
2022,SP,3506508,7166,1,0
2024,SP,3538709,3011,5,0
2022,SP,3549904,2142,7,0
2021,SP,3505500,2123,10,0
2022,SP,3544004,2523,1,0
2024,SP,3515186,5153,50,0
2024,SP,3522505,7152,4,0
2024,SP,3506508,7156,1,0
2024,SP,3518701,3911,3,0
2024,SP,3552205,3911,72,0
2022,SP,3505500,2123,5,0
2024,SP,3543303,5121,71,0
2024,SP,3549805,4223,14,0
2024,SP,3554102,8181,18,0
2024,SP,3555802,2142,1,0
2024,SP,3502101,2523,1,0
2024,SP,3550308,4151,21,0
2024,SP,3548500,5199,2,0
2022,SP,3529401,3542,2,0
2022,SP,3515186,5141,5,0
2024,SP,3524402,5135,19,0
2023,SP,3551702,1424,1,0
2024,SP,3507001,2141,1,0
2024,SP,3515103,2123,2,0
2024,SP,3550308,2526,8,0
2024,SP,3526704,3515,1,0
2024,SP,3557105,7911,1,0
2024,SP,3505906,2149,1,0
