ano,mes,sigla_uf,id_municipio,quantidade_atendimentos,valor_total_aprovado
2024,6,SP,3528007,35698,103993.34999999998
2024,6,SP,3509809,16837,21470.190000000002
2024,6,SP,3525300,241093,7776042.539999987
2024,6,SP,3512803,65954,452291.2100000001
2024,6,SP,3542206,19755,262409.0200000001
2024,6,SP,3549706,90519,858097.6000000001
2024,6,SP,3503000,6036,39429.31999999998
2024,10,SP,3518701,535289,3611693.260000008
2024,10,SP,3502200,39445,223760.82
2024,10,SP,3541703,21429,73593.58000000002
2024,10,SP,3534609,35833,184444.14000000007
2024,10,SP,3534500,5732,173.63
2024,10,SP,3518008,3009,20354.379999999997
2024,10,SP,3514205,460,1015.2599999999999
2024,12,SP,3551108,22705,28793.840000000004
2024,12,SP,3512308,36064,101578.53000000003
2024,12,SP,3506201,1276,2171.769999999999
2024,12,SP,3545506,657,3942.1100000000006
2024,12,SP,3546900,9052,27377.160000000007
2024,9,SP,3517505,69172,147465.06
2024,9,SP,3555901,5640,17.549999999999997
2024,9,SP,3555505,10758,12734.140000000003
2024,9,SP,3529104,4825,5773.95
2024,9,SP,3531704,7144,45138.709999999985
2024,8,SP,3527207,130088,1122761.3099999998
2024,8,SP,3508504,178956,699972.09
2024,8,SP,3549805,3730505,19618804.52999974
2024,8,SP,3546405,83762,480296.29999999993
2024,8,SP,3548906,146142,2430468.639999979
2024,8,SP,3538709,2546841,11774119.810000032
2024,8,SP,3505807,29370,138180.99
2024,8,SP,3523800,16801,11480.21
2024,8,SP,3500808,4660,30974.070000000007
2024,8,SP,3532801,9600,24634.059999999994
2024,8,SP,3538105,9612,44166.88
2024,8,SP,3556107,33256,114108.08
2024,5,SP,3503307,78525,952063.2100000002
2024,5,SP,3507407,38498,86278.54
2024,5,SP,3540507,5873,3019.8099999999995
2024,11,SP,3546702,54210,327539.2400000001
2024,11,SP,3515509,142908,1572953.7600000005
2024,11,SP,3552304,21376,77704.1
2024,11,SP,3540754,15943,74234.85999999999
2024,11,SP,3518909,14354,1301.74
2024,4,SP,3549409,115246,431145.63
2024,4,SP,3524105,60753,1141544.9499999997
2024,4,SP,3543600,6761,9855.800000000003
2024,4,SP,3518909,13218,1802.02
2021,11,SP,3545159,22511,44463.55000000003
2021,11,SP,3549250,1288,5536.04
2021,11,SP,3513702,32003,138764.85000000003
2021,11,SP,3515152,10209,64721.65
2021,2,SP,3501608,180825,1067522.569999995
2021,2,SP,3521903,30741,25589.85000000001
2021,2,SP,3516705,60783,141526.33999999994
2021,2,SP,3553807,39685,108194.70999999996
2021,2,SP,3528858,7551,3060.149999999997
2021,2,SP,3510203,23085,120161.32999999999
2021,2,SP,3500808,7674,2148.08
2021,2,SP,3505351,304,650.3499999999999
